label	plasticizers_ng_per_serving
apple_pie	50000
baby_back_ribs	100000
baklava	5000
beef_carpaccio	100000
beef_tartare	100000
beet_salad	30000
beignets	5000
bibimbap	10000
bread_pudding	5000
breakfast_burrito	15000
bruschetta	10000
caesar_salad	30000
cannoli	10000
caprese_salad	30000
carrot_cake	5000
ceviche	10000
cheesecake	5000
cheese_plate	10000
chicken_curry	100000
chicken_quesadilla	100000
chicken_wings	20000
chocolate_cake	5000
chocolate_mousse	10000
churros	5000
clam_chowder	1000
club_sandwich	12000
crab_cakes	5000
creme_brulee	5000
croque_madame	10000
cup_cakes	5000
deviled_eggs	5000
donuts	5000
dumplings	10000
edamame	10000
eggs_benedict	5000
escargots	10000
falafel	10000
filet_mignon	10000
fish_and_chips	1000
foie_gras	10000
french_fries	7000
french_onion_soup	6000
french_toast	5000
fried_calamari	10000
fried_rice	10000
frozen_yogurt	10000
garlic_bread	4000
gnocchi	8000
greek_salad	30000
grilled_cheese_sandwich	12000
grilled_salmon	500
guacamole	10000
gyoza	10000
hamburger	15000
hot_and_sour_soup	6000
hot_dog	10000
huevos_rancheros	10000
hummus	10000
ice_cream	5000
lasagna	8000
lobster_bisque	1000
lobster_roll_sandwich	1000
macaroni_and_cheese	700
macarons	10000
miso_soup	6000
mussels	10000
nachos	10000
omelette	5000
onion_rings	10000
oysters	10000
pad_thai	10000
paella	10000
pancakes	5000
panna_cotta	10000
peking_duck	10000
pho	6000
pizza	4000
pork_chop	100000
poutine	10000
prime_rib	100000
pulled_pork_sandwich	12000
ramen	6000
ravioli	8000
red_velvet_cake	5000
risotto	10000
samosa	10000
sashimi	10000
scallops	1000
seaweed_salad	30000
shrimp_and_grits	1000
spaghetti_bolognese	8000
spaghetti_carbonara	8000
spring_rolls	10000
steak	150000
strawberry_shortcake	5000
sushi	1000
tacos	10000
takoyaki	10000
tiramisu	5000
tuna_tartare	1000
waffles	5000
Apple 10	10000
Apple 11	10000
Apple 12	10000
Apple 13	10000
Apple 14	10000
Apple 17	10000
Apple 18	10000
Apple 19	10000
Apple 5	10000
Apple 6	10000
Apple 7	10000
Apple 8	10000
Apple 9	10000
Apple Braeburn 1	10000
Apple Core 1	10000
Apple Crimson Snow 1	10000
Apple Golden 1	10000
Apple Golden 2	10000
Apple Golden 3	10000
Apple Granny Smith 1	10000
Apple Pink Lady 1	10000
Apple Red 1	10000
Apple Red 2	10000
Apple Red 3	10000
Apple Red Delicious 1	10000
Apple Red Yellow 1	10000
Apple Red Yellow 2	10000
Apple Rotten 1	10000
Apple hit 1	10000
Apple worm 1	10000
Apricot 1	10000
Avocado 1	10000
Avocado Black 1	10000
Avocado Green 1	10000
Avocado ripe 1	10000
Banana 1	42000
Banana 3	10000
Banana 4	10000
Banana Lady Finger 1	10000
Banana Red 1	10000
Beans 1	10000
Beetroot 1	10000
Blackberrie 1	10000
Blackberrie 2	10000
Blackberrie half rippen 1	10000
Blackberrie not rippen 1	10000
Blueberry 1	48000
Cabbage red 1	10000
Cabbage white 1	10000
Cactus fruit 1	10000
Cactus fruit green 1	10000
Cactus fruit red 1	10000
Caju seed 1	10000
Cantaloupe 1	10000
Cantaloupe 2	10000
Carambula 1	10000
Carrot 1	10000
Cauliflower 1	10000
Cherimoya 1	10000
Cherry 1	10000
Cherry 2	10000
Cherry 3	10000
Cherry 4	10000
Cherry 5	10000
Cherry Rainier 1	10000
Cherry Rainier 2	10000
Cherry Rainier 3	10000
Cherry Sour 1	10000
Cherry Wax Black 1	10000
